dataset,method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,1.0,7,0.7543061023622047,0.05750740956232416,0.2,0.2612485939257593,0.49305750843644547,188.731162540366
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,1.5,7,0.842660292463442,0.035747967118684276,0.2,0.2612485939257593,0.5814116985376827,222.551130247578
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,3.0,7,0.9046330146231721,0.013368497018369412,0.2,0.2612485939257593,0.6433844206974129,246.27287405812703
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,0.2,7,0.24187360491071427,0.028521196451880667,0.2,0.24187360491071427,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,0.5,7,0.6663295200892857,0.06658458538618582,0.2,0.24187360491071427,0.4244559151785714,175.48666186012977
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,0.75,7,0.8158482142857143,0.05924301104861518,0.2,0.24187360491071427,0.573974609375,237.3035328046143
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,1.0,7,0.8102678571428571,0.06490229963303273,0.2,0.24187360491071427,0.5683942522321428,234.99639509733234
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,1.5,7,0.9058314732142857,0.0376804551239342,0.2,0.24187360491071427,0.6639578683035714,274.50612833453494
3d_spatial_arm_ellip_n3_traj,eikonal,pred_precision,3.0,7,0.9371861049107143,0.002856599324615331,0.2,0.24187360491071427,0.6953125,287.46935832732515
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,0.2,7,0.006857045390528861,0.0049127155905873835,0.2,0.006857045390528861,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,0.5,7,0.002133017758342936,0.0007698108516169513,0.2,0.006857045390528861,-0.004724027632185926,-68.89304887365748
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,0.75,7,0.0020632382660078974,0.0013025358253775019,0.2,0.006857045390528861,-0.004793807124520964,-69.91068093471135
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,1.0,7,0.0012943615007687257,0.0006594511471423621,0.2,0.006857045390528861,-0.005562683889760135,-81.12362647392514
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,1.5,7,0.0006642215791684315,0.00030623625667830815,0.2,0.006857045390528861,-0.0061928238113604294,-90.31329761815675
3d_spatial_arm_ellip_n3_traj,eikonal,pred_FPrate,3.0,7,0.0005241824555254264,0.0005546897751535183,0.2,0.006857045390528861,-0.006332862935003435,-92.35556386648042
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,0.2,7,3.81419056973287,0.32619592117463253,0.2,3.81419056973287,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,0.5,7,4.482259481571548,0.2975296842644706,0.2,3.81419056973287,0.6680689118386778,17.515352199233885
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,0.75,7,8.035960763713645,0.5824164098911638,0.2,3.81419056973287,4.221770193980774,110.68587467763702
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,1.0,7,6.764090977991665,0.32449958459148404,0.2,3.81419056973287,2.9499004082587947,77.34014214358967
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,1.5,7,11.137189512290727,0.5781717603187587,0.2,3.81419056973287,7.322998942557856,191.99352545907865
3d_spatial_arm_ellip_n3_traj,eikonal,train_seconds,3.0,7,21.99165707942198,1.4220322534865906,0.2,3.81419056973287,18.17746650968911,476.57468019386835
3d_torus_surface_traj,ecomann,proj_true_dist,0.2,7,0.8729823401996067,0.1915560594618677,0.2,0.8729823401996067,0.0,0.0
3d_torus_surface_traj,ecomann,proj_true_dist,0.5,7,0.988486647605896,0.47260688245141846,0.2,0.8729823401996067,0.11550430740628925,13.231001600774567
3d_torus_surface_traj,ecomann,proj_true_dist,0.75,7,0.7730392387935093,0.23882498304765723,0.2,0.8729823401996067,-0.09994310140609741,-11.448467718515989
3d_torus_surface_traj,ecomann,proj_true_dist,1.0,7,0.7354213680539813,0.3271001578142592,0.2,0.8729823401996067,-0.13756097214562546,-15.757589336133906
3d_torus_surface_traj,ecomann,proj_true_dist,1.5,7,0.43091122593198505,0.10477823601063785,0.2,0.8729823401996067,-0.4420711142676217,-50.63918179221615
3d_torus_surface_traj,ecomann,proj_true_dist,3.0,7,0.43091122593198505,0.10477823601063785,0.2,0.8729823401996067,-0.4420711142676217,-50.63918179221615
3d_torus_surface_traj,ecomann,proj_manifold_dist,0.2,7,0.5027016656739371,0.11140526413134859,0.2,0.5027016656739371,0.0,0.0
3d_torus_surface_traj,ecomann,proj_manifold_dist,0.5,7,0.5483104331152779,0.172848629693339,0.2,0.5027016656739371,0.04560876744134079,9.072730519043795
3d_torus_surface_traj,ecomann,proj_manifold_dist,0.75,7,0.5249700375965664,0.20305784470269606,0.2,0.5027016656739371,0.022268371922629204,4.429739036725798
3d_torus_surface_traj,ecomann,proj_manifold_dist,1.0,7,0.4867619829518454,0.17443899186990977,0.2,0.5027016656739371,-0.01593968272209173,-3.170803641703177
3d_torus_surface_traj,ecomann,proj_manifold_dist,1.5,7,0.3280909423317228,0.07014899233580779,0.2,0.5027016656739371,-0.17461072334221434,-34.734462856439094
3d_torus_surface_traj,ecomann,proj_manifold_dist,3.0,7,0.3280909423317228,0.07014899233580779,0.2,0.5027016656739371,-0.17461072334221434,-34.734462856439094
3d_torus_surface_traj,ecomann,bidirectional_chamfer,0.2,7,1.31465060370309,0.33864095567019487,0.2,1.31465060370309,0.0,0.0
3d_torus_surface_traj,ecomann,bidirectional_chamfer,0.5,7,1.1279343196323939,0.3568352736343571,0.2,1.31465060370309,-0.18671628407069618,-14.202730637688543
3d_torus_surface_traj,ecomann,bidirectional_chamfer,0.75,7,0.9306277292115348,0.25097412479526565,0.2,1.31465060370309,-0.38402287449155526,-29.21102180380436
3d_torus_surface_traj,ecomann,bidirectional_chamfer,1.0,7,0.902232655457088,0.30333449235668164,0.2,1.31465060370309,-0.4124179482460021,-31.370916887293767
