[run] method=delta dataset=2d_ellipse seed=173
[eval] 2d_looped_spiro | proj_dist=0.130537 | pred_recall=0.863057 | pred_FPrate=0.242993 | chamfer=0.204919 | gt->learned=0.074060 | learned->gt=0.130859 | space=data_space
[done] method=delta dataset=2d_looped_spiro seed=173 proj_dist=0.130537 recall=0.863057 FPrate=0.242993
[run] method=delta dataset=2d_planar_arm_line_n2 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.275772 | on=0.011567 | off=0.088068
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.236525 | on=0.055438 | off=0.060362
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.232400 | on=0.054005 | off=0.059465
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.290277 | on=0.050347 | off=0.079977
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.237619 | on=0.053631 | off=0.061329
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.274434 | on=0.070241 | off=0.068064
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.272203 | on=0.055430 | off=0.072258
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.246088 | on=0.045381 | off=0.066902
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.229537 | on=0.054735 | off=0.058267
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.274244 | on=0.055966 | off=0.072759
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.254058 | on=0.055353 | off=0.066235
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.248858 | on=0.048065 | off=0.066931
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.219918 | on=0.040349 | off=0.059856
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.222917 | on=0.063147 | off=0.053256
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.246755 | on=0.048228 | off=0.066176
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.222775 | on=0.052372 | off=0.056801
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.203315 | on=0.056887 | off=0.048809
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.236495 | on=0.045047 | off=0.063816
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.222885 | on=0.047045 | off=0.058614
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.175483 | on=0.046858 | off=0.042875
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.205745 | on=0.037034 | off=0.056237
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.142108 | on=0.036585 | off=0.035174
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.070876 | on=0.024356 | off=0.015507
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.056560 | on=0.021774 | off=0.011595
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.042908 | on=0.015546 | off=0.009121
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.064293 | on=0.009917 | off=0.018125
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.053480 | on=0.011334 | off=0.014049
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.034070 | on=0.011607 | off=0.007488
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.047093 | on=0.007938 | off=0.013051
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.032468 | on=0.009211 | off=0.007752
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.034025 | on=0.010738 | off=0.007762
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.035161 | on=0.006251 | off=0.009637
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.026560 | on=0.009934 | off=0.005542
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.027620 | on=0.010763 | off=0.005619
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.024869 | on=0.006878 | off=0.005997
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.028654 | on=0.007201 | off=0.007151
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.021654 | on=0.006018 | off=0.005212
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.022953 | on=0.005378 | off=0.005858
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.020434 | on=0.008769 | off=0.003888
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.023102 | on=0.005184 | off=0.005973
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.027431 | on=0.004797 | off=0.007545
[eval] 2d_planar_arm_line_n2 | proj_dist=0.060612 | pred_recall=0.838235 | pred_FPrate=0.090909 | chamfer=0.069273 | gt->learned=0.008330 | learned->gt=0.060943 | space=workspace
[done] method=delta dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.060612 recall=0.838235 FPrate=0.090909
[run] method=delta dataset=2d_sparse_sine seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.436478 | on=0.005120 | off=0.143786
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.145483 | on=0.040162 | off=0.035107
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.201906 | on=0.047772 | off=0.051378
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.211911 | on=0.040617 | off=0.057098
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.131253 | on=0.033055 | off=0.032733
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.119090 | on=0.034936 | off=0.028051
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.145442 | on=0.034630 | off=0.036938
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.112044 | on=0.030279 | off=0.027255
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.125336 | on=0.025079 | off=0.033419
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.146820 | on=0.021569 | off=0.041750
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.114408 | on=0.021240 | off=0.031056
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.117789 | on=0.024062 | off=0.031242
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.104739 | on=0.014879 | off=0.029953
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.121609 | on=0.015747 | off=0.035287
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.098518 | on=0.021302 | off=0.025739
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.114357 | on=0.017538 | off=0.032273
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.093489 | on=0.018731 | off=0.024919
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.084063 | on=0.020437 | off=0.021209
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.126134 | on=0.010809 | off=0.038442
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.061795 | on=0.019901 | off=0.013965
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.051314 | on=0.017523 | off=0.011264
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.068768 | on=0.016746 | off=0.017340
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.051419 | on=0.006573 | off=0.014949
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.034906 | on=0.009794 | off=0.008371
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.048917 | on=0.006734 | off=0.014061
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.032459 | on=0.008591 | off=0.007956
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.037564 | on=0.009268 | off=0.009432
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.032004 | on=0.009801 | off=0.007401
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.023993 | on=0.010367 | off=0.004542
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.046915 | on=0.009497 | off=0.012473
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.022884 | on=0.007301 | off=0.005194
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.030119 | on=0.011885 | off=0.006078
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.027165 | on=0.007952 | off=0.006404
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.028899 | on=0.012898 | off=0.005334
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.021493 | on=0.008818 | off=0.004225
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.034850 | on=0.007919 | off=0.008977
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.018811 | on=0.009558 | off=0.003084
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.026868 | on=0.006151 | off=0.006906
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.030095 | on=0.007773 | off=0.007441
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.024083 | on=0.005709 | off=0.006125
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.023446 | on=0.005493 | off=0.005984
[eval] 2d_sparse_sine | proj_dist=0.039528 | pred_recall=0.722500 | pred_FPrate=0.075758 | chamfer=0.074614 | gt->learned=0.034117 | learned->gt=0.040497 | space=data_space
[done] method=delta dataset=2d_sparse_sine seed=173 proj_dist=0.039528 recall=0.722500 FPrate=0.075758
[run] method=delta dataset=2d_square seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.280171 | on=0.007652 | off=0.090840
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.183573 | on=0.041693 | off=0.047293
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.127067 | on=0.037725 | off=0.029781
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.151980 | on=0.033656 | off=0.039442
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.170136 | on=0.032213 | off=0.045974
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.146401 | on=0.019650 | off=0.042250
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.082462 | on=0.008632 | off=0.024610
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.063035 | on=0.009358 | off=0.017892
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.053744 | on=0.010578 | off=0.014389
