[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=1600/2000 | lr=1.00e-04 | f1=0.0489 | |grad f1|=0.9047 | ortho=0.00000
[train] method=eikonal ep=1650/2000 | lr=1.00e-04 | f1=0.0480 | |grad f1|=0.9013 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=1.00e-04 | f1=0.0468 | |grad f1|=0.9106 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=1.00e-04 | f1=0.0460 | |grad f1|=0.9140 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=1.00e-04 | f1=0.0445 | |grad f1|=0.9160 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=1.00e-04 | f1=0.0433 | |grad f1|=0.9246 | ortho=0.00000
[train] method=eikonal ep=1900/2000 | lr=1.00e-04 | f1=0.0439 | |grad f1|=0.9377 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=1.00e-04 | f1=0.0415 | |grad f1|=0.9423 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=1.00e-04 | f1=0.0403 | |grad f1|=0.9414 | ortho=0.00000
[eval] 2d_looped_spiro | proj_dist=0.077824 | pred_recall=0.850318 | pred_FPrate=0.098889 | chamfer=0.122868 | gt->learned=0.044362 | learned->gt=0.078506 | space=data_space
[done] method=eikonal dataset=2d_looped_spiro seed=173 proj_dist=0.077824 recall=0.850318 FPrate=0.098889
[run] method=eikonal dataset=2d_planar_arm_line_n2 seed=173
[train] method=eikonal ep=   1/2000 | lr=1.50e-04 | f1=0.0955 | |grad f1|=0.0223 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=1.50e-04 | f1=0.0765 | |grad f1|=0.1487 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=1.50e-04 | f1=0.1271 | |grad f1|=0.3071 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=1.50e-04 | f1=0.1053 | |grad f1|=0.3951 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=1.50e-04 | f1=0.1062 | |grad f1|=0.5561 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=1.50e-04 | f1=0.0781 | |grad f1|=0.7602 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=1.50e-04 | f1=0.0493 | |grad f1|=0.9218 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=1.50e-04 | f1=0.0361 | |grad f1|=0.9753 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=1.50e-04 | f1=0.0311 | |grad f1|=0.9993 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=1.50e-04 | f1=0.0296 | |grad f1|=1.0059 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=1.50e-04 | f1=0.0280 | |grad f1|=1.0053 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=1.50e-04 | f1=0.0263 | |grad f1|=1.0190 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=1.50e-04 | f1=0.0264 | |grad f1|=1.0189 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=1.50e-04 | f1=0.0256 | |grad f1|=1.0225 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=1.50e-04 | f1=0.0248 | |grad f1|=1.0229 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=1.50e-04 | f1=0.0239 | |grad f1|=1.0257 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=1.50e-04 | f1=0.0230 | |grad f1|=1.0317 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=1.50e-04 | f1=0.0231 | |grad f1|=1.0288 | ortho=0.00000
