[run] method=delta dataset=3d_0z_2d_discontinuous seed=173
[run] method=delta dataset=3d_0z_2d_hetero_noise seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.429627 | on=0.001391 | off=0.142745
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.268514 | on=0.062508 | off=0.068669
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.194967 | on=0.053818 | off=0.047050
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.221711 | on=0.049196 | off=0.057505
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.070872 | on=0.022794 | off=0.016026
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.028808 | on=0.011197 | off=0.005870
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.040810 | on=0.010332 | off=0.010159
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.029568 | on=0.010290 | off=0.006426
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036734 | on=0.010931 | off=0.008601
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.028925 | on=0.010375 | off=0.006183
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.036030 | on=0.010600 | off=0.008477
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.029234 | on=0.009241 | off=0.006664
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.025460 | on=0.008841 | off=0.005540
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.021458 | on=0.008047 | off=0.004470
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.021972 | on=0.006651 | off=0.005107
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.020981 | on=0.008481 | off=0.004167
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.017774 | on=0.007274 | off=0.003500
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.016340 | on=0.005495 | off=0.003615
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.013540 | on=0.004889 | off=0.002884
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.012439 | on=0.004175 | off=0.002754
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.010694 | on=0.003373 | off=0.002440
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.010134 | on=0.003126 | off=0.002336
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.008562 | on=0.002748 | off=0.001938
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008438 | on=0.002699 | off=0.001913
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.008316 | on=0.003065 | off=0.001750
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.007556 | on=0.002229 | off=0.001775
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.011215 | on=0.002508 | off=0.002903
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.007951 | on=0.002591 | off=0.001787
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.006301 | on=0.002085 | off=0.001405
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.006398 | on=0.002234 | off=0.001388
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.006401 | on=0.002361 | off=0.001347
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005886 | on=0.002237 | off=0.001217
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.005474 | on=0.001578 | off=0.001299
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.006481 | on=0.001611 | off=0.001623
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.004683 | on=0.001281 | off=0.001134
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.004015 | on=0.001396 | off=0.000873
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003697 | on=0.001152 | off=0.000848
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.003249 | on=0.001192 | off=0.000686
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.003010 | on=0.001299 | off=0.000571
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002578 | on=0.000910 | off=0.000556
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.002244 | on=0.000971 | off=0.000425
[eval] 3d_0z_2d_hetero_noise | proj_dist=0.557382 | pred_recall=0.574713 | pred_FPrate=0.112247 | chamfer=0.599628 | gt->learned=0.042086 | learned->gt=0.557542 | space=data_space
[done] method=delta dataset=3d_0z_2d_hetero_noise seed=173 proj_dist=0.557382 recall=0.574713 FPrate=0.112247
[run] method=delta dataset=3d_0z_2d_looped_spiro seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.386592 | on=0.001463 | off=0.128376
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.241472 | on=0.055759 | off=0.061905
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.202335 | on=0.052933 | off=0.049801
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.151134 | on=0.037983 | off=0.037717
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.038603 | on=0.014683 | off=0.007973
