[run] method=delta dataset=6d_spatial_arm_up_n6 seed=173
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.004843 | on=0.000699 | off=0.004144
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.004611 | on=0.000946 | off=0.003665
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.004981 | on=0.000748 | off=0.004233
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.004450 | on=0.000639 | off=0.003811
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.004687 | on=0.001016 | off=0.003671
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.005327 | on=0.000715 | off=0.004612
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.003445 | on=0.000459 | off=0.002986
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.002542 | on=0.000718 | off=0.001824
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.002917 | on=0.000710 | off=0.002207
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.002865 | on=0.000240 | off=0.002624
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.002006 | on=0.000286 | off=0.001719
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.002070 | on=0.000501 | off=0.001569
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002554 | on=0.000386 | off=0.002168
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.001734 | on=0.000413 | off=0.001320
[eval] 6d_workspace_sine_surface_pose | proj_dist=0.105483 | pred_recall=nan | pred_FPrate=0.001465 | chamfer=0.276156 | gt->learned=0.062906 | learned->gt=0.213250 | space=workspace
[workspace_pose_err] pos_mean: 0.41735->0.06441, ang_mean_deg: 32.922->4.141
