[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.1248 | |grad f1|=0.5369 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=2.00e-04 | f1=0.1311 | |grad f1|=0.5604 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=2.00e-04 | f1=0.1352 | |grad f1|=0.5760 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=2.00e-04 | f1=0.1370 | |grad f1|=0.5823 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=2.00e-04 | f1=0.1377 | |grad f1|=0.5894 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=2.00e-04 | f1=0.1392 | |grad f1|=0.5957 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=2.00e-04 | f1=0.1397 | |grad f1|=0.5996 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=2.00e-04 | f1=0.1401 | |grad f1|=0.6024 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=2.00e-04 | f1=0.1400 | |grad f1|=0.6070 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=2.00e-04 | f1=0.1403 | |grad f1|=0.6133 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=2.00e-04 | f1=0.1398 | |grad f1|=0.6156 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.1395 | |grad f1|=0.6238 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=2.00e-04 | f1=0.1370 | |grad f1|=0.6398 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=2.00e-04 | f1=0.1335 | |grad f1|=0.6654 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=2.00e-04 | f1=0.1237 | |grad f1|=0.7089 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=2.00e-04 | f1=0.0995 | |grad f1|=0.7690 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=2.00e-04 | f1=0.0683 | |grad f1|=0.8469 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=1.00e-04 | f1=0.0591 | |grad f1|=0.8739 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=1.00e-04 | f1=0.0548 | |grad f1|=0.8873 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=1.00e-04 | f1=0.0546 | |grad f1|=0.9070 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=1.00e-04 | f1=0.0526 | |grad f1|=0.9161 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=1.00e-04 | f1=0.0524 | |grad f1|=0.9208 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=1.00e-04 | f1=0.0515 | |grad f1|=0.9194 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=1.00e-04 | f1=0.0512 | |grad f1|=0.9310 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=1.00e-04 | f1=0.0514 | |grad f1|=0.9405 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=1.00e-04 | f1=0.0492 | |grad f1|=0.9352 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=1.00e-04 | f1=0.0485 | |grad f1|=0.9347 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=1.00e-04 | f1=0.0470 | |grad f1|=0.9331 | ortho=0.00000
[train] method=eikonal ep=1600/2000 | lr=1.00e-04 | f1=0.0466 | |grad f1|=0.9416 | ortho=0.00000
[train] method=eikonal ep=1650/2000 | lr=1.00e-04 | f1=0.0455 | |grad f1|=0.9389 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=1.00e-04 | f1=0.0438 | |grad f1|=0.9437 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=1.00e-04 | f1=0.0436 | |grad f1|=0.9490 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=1.00e-04 | f1=0.0434 | |grad f1|=0.9513 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=1.00e-04 | f1=0.0418 | |grad f1|=0.9520 | ortho=0.00000
[train] method=eikonal ep=1900/2000 | lr=1.00e-04 | f1=0.0407 | |grad f1|=0.9536 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=1.00e-04 | f1=0.0406 | |grad f1|=0.9548 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=1.00e-04 | f1=0.0395 | |grad f1|=0.9544 | ortho=0.00000
[eval] 2d_looped_spiro | proj_dist=0.054311 | pred_recall=0.799363 | pred_FPrate=0.078265 | chamfer=0.104751 | gt->learned=0.049867 | learned->gt=0.054884 | space=data_space
[done] method=eikonal dataset=2d_looped_spiro seed=173 proj_dist=0.054311 recall=0.799363 FPrate=0.078265
[run] method=eikonal dataset=2d_planar_arm_line_n2 seed=173
[train] method=eikonal ep=   1/2000 | lr=1.50e-04 | f1=0.0693 | |grad f1|=0.0212 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=1.50e-04 | f1=0.0523 | |grad f1|=0.0692 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=1.50e-04 | f1=0.0863 | |grad f1|=0.1341 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=1.50e-04 | f1=0.0950 | |grad f1|=0.1841 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=1.50e-04 | f1=0.0993 | |grad f1|=0.2590 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=1.50e-04 | f1=0.0936 | |grad f1|=0.3613 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=1.50e-04 | f1=0.0930 | |grad f1|=0.4688 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=1.50e-04 | f1=0.0804 | |grad f1|=0.6013 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=1.50e-04 | f1=0.0581 | |grad f1|=0.7629 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=1.50e-04 | f1=0.0417 | |grad f1|=0.8910 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=1.50e-04 | f1=0.0362 | |grad f1|=0.9455 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=1.50e-04 | f1=0.0342 | |grad f1|=0.9768 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=1.50e-04 | f1=0.0325 | |grad f1|=0.9901 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=1.50e-04 | f1=0.0325 | |grad f1|=1.0053 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=1.50e-04 | f1=0.0311 | |grad f1|=1.0113 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=1.50e-04 | f1=0.0303 | |grad f1|=1.0165 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=1.50e-04 | f1=0.0293 | |grad f1|=1.0224 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=1.50e-04 | f1=0.0287 | |grad f1|=1.0236 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=1.50e-04 | f1=0.0282 | |grad f1|=1.0244 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=1.50e-04 | f1=0.0276 | |grad f1|=1.0339 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=1.50e-04 | f1=0.0268 | |grad f1|=1.0252 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=7.50e-05 | f1=0.0268 | |grad f1|=1.0289 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=7.50e-05 | f1=0.0265 | |grad f1|=1.0267 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=7.50e-05 | f1=0.0266 | |grad f1|=1.0293 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=7.50e-05 | f1=0.0262 | |grad f1|=1.0299 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=7.50e-05 | f1=0.0263 | |grad f1|=1.0306 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=7.50e-05 | f1=0.0257 | |grad f1|=1.0341 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=7.50e-05 | f1=0.0256 | |grad f1|=1.0339 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=7.50e-05 | f1=0.0259 | |grad f1|=1.0346 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=7.50e-05 | f1=0.0248 | |grad f1|=1.0292 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=7.50e-05 | f1=0.0253 | |grad f1|=1.0326 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=7.50e-05 | f1=0.0250 | |grad f1|=1.0342 | ortho=0.00000
[train] method=eikonal ep=1600/2000 | lr=7.50e-05 | f1=0.0247 | |grad f1|=1.0410 | ortho=0.00000
[train] method=eikonal ep=1650/2000 | lr=7.50e-05 | f1=0.0245 | |grad f1|=1.0366 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=7.50e-05 | f1=0.0243 | |grad f1|=1.0320 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=7.50e-05 | f1=0.0243 | |grad f1|=1.0315 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=7.50e-05 | f1=0.0238 | |grad f1|=1.0317 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=7.50e-05 | f1=0.0240 | |grad f1|=1.0349 | ortho=0.00000
