[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.002586 | on=0.000370 | off=0.007388
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.001493 | on=0.000154 | off=0.004465
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.002412 | on=0.000288 | off=0.007080
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.001474 | on=0.000133 | off=0.004468
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.001147 | on=0.000187 | off=0.003199
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.001000 | on=0.000151 | off=0.002831
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.001268 | on=0.000099 | off=0.003896
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.001286 | on=0.000104 | off=0.003939
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.000864 | on=0.000145 | off=0.002395
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.000832 | on=0.000081 | off=0.002504
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.000755 | on=0.000086 | off=0.002232
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000819 | on=0.000124 | off=0.002316
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000573 | on=0.000046 | off=0.001755
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000647 | on=0.000067 | off=0.001934
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000484 | on=0.000062 | off=0.001407
[eval] 3d_torus_surface | proj_dist=0.058105 | pred_recall=0.271523 | pred_FPrate=0.008872 | chamfer=0.164964 | gt->learned=0.059438 | learned->gt=0.105526 | space=data_space
[done] method=delta dataset=3d_torus_surface seed=173 proj_dist=0.058105 recall=0.271523 FPrate=0.008872
[run] method=delta dataset=3d_vz_2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.042111 | on=0.001078 | off=0.136779
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.033293 | on=0.005446 | off=0.092822
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.032565 | on=0.006443 | off=0.087073
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.014356 | on=0.001171 | off=0.043949
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.010432 | on=0.000609 | off=0.032742
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.010710 | on=0.000462 | off=0.034161
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.007748 | on=0.000629 | off=0.023730
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.009386 | on=0.000606 | off=0.029264
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.010825 | on=0.000670 | off=0.033850
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.012525 | on=0.000492 | off=0.040112
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.008506 | on=0.000409 | off=0.026988
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.011669 | on=0.000732 | off=0.036457
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.011670 | on=0.000479 | off=0.037302
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.009693 | on=0.000447 | off=0.030821
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.009992 | on=0.000420 | off=0.031906
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.006239 | on=0.000486 | off=0.019178
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.008320 | on=0.000576 | off=0.025814
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.009216 | on=0.000414 | off=0.029340
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.007143 | on=0.000641 | off=0.021672
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.007875 | on=0.000505 | off=0.024567
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.007339 | on=0.000482 | off=0.022858
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.008512 | on=0.000545 | off=0.026557
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.007633 | on=0.000213 | off=0.024733
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008817 | on=0.000335 | off=0.028275
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.007188 | on=0.000200 | off=0.023293
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.006067 | on=0.000314 | off=0.019178
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.004598 | on=0.000154 | off=0.014814
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.008080 | on=0.000260 | off=0.026067
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.004472 | on=0.000225 | off=0.014158
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.009649 | on=0.000201 | off=0.031494
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.007055 | on=0.000152 | off=0.023010
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.007646 | on=0.000311 | off=0.024449
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.009615 | on=0.000225 | off=0.031298
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.006697 | on=0.000581 | off=0.020387
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.010537 | on=0.000313 | off=0.034079
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.007947 | on=0.000267 | off=0.025600
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.006565 | on=0.000354 | off=0.020706
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.008103 | on=0.000189 | off=0.026378
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.005386 | on=0.000393 | off=0.016643
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.007489 | on=0.000234 | off=0.024182
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.006100 | on=0.000278 | off=0.019407
[eval] 3d_vz_2d_ellipse | proj_dist=0.273589 | pred_recall=0.600000 | pred_FPrate=0.035170 | chamfer=0.302125 | gt->learned=0.028312 | learned->gt=0.273813 | space=data_space
[done] method=delta dataset=3d_vz_2d_ellipse seed=173 proj_dist=0.273589 recall=0.600000 FPrate=0.035170
[saved] /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/delta_all_3d/sweep_summary_delta_seed173.json
[sweep] method=delta avg_metrics=18 over cases=6
