[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036364 | on=0.011142 | off=0.025222
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.060353 | on=0.007932 | off=0.052421
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.039417 | on=0.008402 | off=0.031015
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.028599 | on=0.005895 | off=0.022705
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.016375 | on=0.003936 | off=0.012439
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.019601 | on=0.004925 | off=0.014676
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.012689 | on=0.003713 | off=0.008976
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.017420 | on=0.003221 | off=0.014199
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.009541 | on=0.004069 | off=0.005472
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.008749 | on=0.001878 | off=0.006872
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.010262 | on=0.001059 | off=0.009203
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.012377 | on=0.002509 | off=0.009868
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.006346 | on=0.000822 | off=0.005524
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.004502 | on=0.001441 | off=0.003061
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.012046 | on=0.000887 | off=0.011159
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.009741 | on=0.000793 | off=0.008948
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.005439 | on=0.000998 | off=0.004441
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.005187 | on=0.001098 | off=0.004090
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.006677 | on=0.001216 | off=0.005461
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.004530 | on=0.001274 | off=0.003257
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.004465 | on=0.000742 | off=0.003724
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.004818 | on=0.001017 | off=0.003801
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.007395 | on=0.001227 | off=0.006168
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005503 | on=0.000926 | off=0.004577
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002782 | on=0.001086 | off=0.001696
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.005406 | on=0.000807 | off=0.004600
