method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,2d_sparse_sine,173,0.16181917488574982,0.03590487688779831,0.03590487688779831,,,0.08582384884357452,0.49848631024360657,0.07599532604217529,0.37138664722442627,1024.0,4096.0,0.016233766233766232,0.07633867114782333,0.0003434156533330679,0.765625,0.49,0.07487358152866364,34.252685546875,0.1338469386100769,0.010958848521113396
delta,2d_sparse_sine,271,0.15144366025924683,0.06109292060136795,0.06109292060136795,,,0.04054763913154602,0.15472006797790527,0.1108960211277008,0.6451226472854614,1024.0,4096.0,0.02467462039045553,0.10114989429712296,0.0005693313432857394,0.75,0.6691176470588235,0.10978144407272339,30.2822265625,0.15593311190605164,0.0038303215987980366
delta,2d_sparse_sine,509,0.0668112188577652,0.04588443040847778,0.04588443040847778,,,0.02882063202559948,0.1669912189245224,0.03799058869481087,0.11991825699806213,1024.0,4096.0,0.007778969957081545,0.05535261332988739,0.00033648082171566784,0.8733624454148472,0.5434782608695652,0.0364295095205307,39.5693359375,0.09473241120576859,0.014878040179610252
delta,2d_sparse_sine,877,0.07651565968990326,0.026963617652654648,0.026963617652654648,,,0.034318484365940094,0.1691359430551529,0.042197175323963165,0.12715953588485718,1024.0,4096.0,0.005106154259607632,0.047415390610694885,0.0001461119536543265,0.8689655172413793,0.336,0.0408506765961647,41.113525390625,0.10770003497600555,0.011173134669661522
delta,2d_sparse_sine,1123,0.12645497918128967,0.0841318741440773,0.0841318741440773,,,0.040822871029376984,0.14400960505008698,0.08563210070133209,0.4886666536331177,1024.0,4096.0,0.06345381526104418,0.147679403424263,0.0010818314040079713,0.5519848771266541,0.8088642659279779,0.08455684036016464,32.801513671875,0.159586101770401,0.012976170517504215
delta,2d_square,173,0.045779209583997726,0.04176479950547218,0.04176479950547218,,,0.023639127612113953,0.06912967562675476,0.022140081971883774,0.050559550523757935,1024.0,4096.0,0.048433798367991575,0.031606320291757584,0.0002974672242999077,0.5670588235294117,0.8114478114478114,0.02125074341893196,29.0,0.056257545948028564,0.0004417385207489133
delta,2d_square,271,0.031525857746601105,0.023911040276288986,0.023911040276288986,,,0.01593657210469246,0.057855088263750076,0.015589285641908646,0.045936308801174164,1024.0,4096.0,0.010468463752944255,0.017608270049095154,0.00012454975512810051,0.8237885462555066,0.68,0.014444003812968731,29.0,0.03529942408204079,0.00025256676599383354
delta,2d_square,509,0.035429611802101135,0.02629772387444973,0.02629772387444973,,,0.01800338551402092,0.05695532262325287,0.017426226288080215,0.04654361307621002,1024.0,4096.0,0.01541274817136886,0.01997704803943634,0.00015698710922151804,0.756198347107438,0.6828358208955224,0.01654800772666931,29.0,0.03777878358960152,0.00018592766718938947
delta,2d_square,877,0.03327777981758118,0.022547656670212746,0.022547656670212746,,,0.016975127160549164,0.05859772488474846,0.016302652657032013,0.04923413321375847,1024.0,4096.0,0.008672798948751642,0.017270226031541824,0.00015522411558777094,0.8493150684931506,0.6391752577319587,0.01524239033460617,29.0,0.03843856602907181,0.00028143919189460576
delta,2d_square,1123,0.03637121990323067,0.024292567744851112,0.024292567744851112,,,0.01889602094888687,0.07590287178754807,0.017475198954343796,0.05846793204545975,1024.0,4096.0,0.0141287284144427,0.02080492302775383,0.0001476389734307304,0.7631578947368421,0.635036496350365,0.016399303451180458,29.0,0.043430130928754807,0.000335611286573112
