[run] method=delta dataset=2d_discontinuous seed=173
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.067413 | on=0.016900 | off=0.016838
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.081941 | on=0.017601 | off=0.021447
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.062881 | on=0.015987 | off=0.015631
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.062530 | on=0.012345 | off=0.016728
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.054254 | on=0.014769 | off=0.013162
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.067321 | on=0.015528 | off=0.017264
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.051141 | on=0.014184 | off=0.012319
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.060169 | on=0.013694 | off=0.015492
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.057065 | on=0.010931 | off=0.015378
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.039866 | on=0.010114 | off=0.009917
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.049788 | on=0.008641 | off=0.013716
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.045989 | on=0.009713 | off=0.012092
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.050194 | on=0.008493 | off=0.013900
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.052956 | on=0.006926 | off=0.015343
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.058085 | on=0.008673 | off=0.016471
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.045179 | on=0.011622 | off=0.011186
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.050688 | on=0.009532 | off=0.013719
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.035187 | on=0.007583 | off=0.009201
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.041439 | on=0.007263 | off=0.011392
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.039856 | on=0.010355 | off=0.009834
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.038632 | on=0.008103 | off=0.010177
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.039602 | on=0.006127 | off=0.011158
