[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.069467 | on=0.001078 | off=0.136779
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.050753 | on=0.010846 | off=0.079814
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.049891 | on=0.010850 | off=0.078080
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.042723 | on=0.002593 | off=0.080260
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.019995 | on=0.002487 | off=0.035016
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.016518 | on=0.000740 | off=0.031558
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.013534 | on=0.000468 | off=0.026133
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.016908 | on=0.000907 | off=0.032001
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.017149 | on=0.000997 | off=0.032303
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.024252 | on=0.000510 | off=0.047484
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.018972 | on=0.002424 | off=0.033095
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.022111 | on=0.000809 | off=0.042604
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.024668 | on=0.001135 | off=0.047065
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.018538 | on=0.001172 | off=0.034732
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.015611 | on=0.001349 | off=0.028523
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.010616 | on=0.000522 | off=0.020189
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.013755 | on=0.000666 | off=0.026179
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.014152 | on=0.000399 | off=0.027507
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.008959 | on=0.000369 | off=0.017180
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.017628 | on=0.000954 | off=0.033348
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.022569 | on=0.000426 | off=0.044286
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.014826 | on=0.000285 | off=0.029083
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.010149 | on=0.000463 | off=0.019373
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.012322 | on=0.000196 | off=0.024252
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.018277 | on=0.000165 | off=0.036224
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.014229 | on=0.000302 | off=0.027854
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.010850 | on=0.000318 | off=0.021063
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.020923 | on=0.000209 | off=0.041428
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007743 | on=0.000224 | off=0.015039
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.020115 | on=0.000161 | off=0.039908
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.014384 | on=0.000364 | off=0.028040
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.017580 | on=0.000150 | off=0.034858
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.016767 | on=0.000237 | off=0.033059
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.011749 | on=0.000182 | off=0.023133
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.013848 | on=0.000124 | off=0.027448
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.016103 | on=0.000510 | off=0.031187
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.009173 | on=0.000154 | off=0.018038
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.013108 | on=0.000294 | off=0.025629
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.014999 | on=0.000234 | off=0.029530
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.015317 | on=0.000414 | off=0.029805
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.011525 | on=0.000269 | off=0.022512
[eval] 3d_vz_2d_ellipse | proj_dist=0.174645 | pred_recall=0.566667 | pred_FPrate=0.024840 | chamfer=0.201165 | gt->learned=0.026263 | learned->gt=0.174902 | space=data_space
[done] method=delta dataset=3d_vz_2d_ellipse seed=173 proj_dist=0.174645 recall=0.566667 FPrate=0.024840
[saved] /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/delta_all_3d/sweep_summary_delta_seed173.json
[sweep] method=delta avg_metrics=18 over cases=5
