[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.610734 | on=0.073069 | off=0.053767
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.508147 | on=0.067423 | off=0.044072
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.625961 | on=0.074990 | off=0.055097
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.525117 | on=0.064454 | off=0.046066
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.374106 | on=0.070721 | off=0.030339
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.401632 | on=0.073189 | off=0.032844
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.372946 | on=0.062363 | off=0.031058
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.304683 | on=0.042427 | off=0.026226
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.232094 | on=0.042869 | off=0.018923
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.147752 | on=0.029980 | off=0.011777
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.148651 | on=0.018736 | off=0.012991
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.123220 | on=0.022813 | off=0.010041
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.107901 | on=0.018655 | off=0.008925
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.116735 | on=0.016569 | off=0.010017
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.073990 | on=0.019490 | off=0.005450
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.093514 | on=0.012908 | off=0.008061
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.086818 | on=0.014327 | off=0.007249
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.092253 | on=0.012225 | off=0.008003
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.067214 | on=0.015034 | off=0.005218
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.089959 | on=0.010648 | off=0.007931
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.062576 | on=0.019737 | off=0.004284
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.076891 | on=0.012527 | off=0.006436
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.106658 | on=0.007768 | off=0.009889
[eval] 2d_planar_arm_line_n2 | proj_dist=0.109233 | pred_recall=0.919118 | pred_FPrate=0.154545 | chamfer=0.119045 | gt->learned=0.009490 | learned->gt=0.109556 | space=workspace
[done] method=delta dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.109233 recall=0.919118 FPrate=0.154545
[run] method=delta dataset=2d_sparse_sine seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=1.442979 | on=0.005120 | off=0.143786
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.407795 | on=0.060039 | off=0.034776
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.531236 | on=0.063892 | off=0.046734
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.586966 | on=0.057973 | off=0.052899
