method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
vae,6d_spatial_arm_up_n6_py,1123,0.5300195217132568,0.3978361189365387,0.3978361189365387,0.641990602016449,0.5375038981437683,0.097860187292099,0.155013307929039,0.43215930461883545,1.6756566762924194,1024.0,4096.0,0.024169921875,0.052328526973724365,0.00048828125,0.89990234375,0.4239203631877899,1.0,0.6056893467903137,0.6140720844268799,16.041600583997933
vae,6d_spatial_arm_up_n6_py,2027,0.5726450681686401,0.2614123225212097,0.2614123225212097,0.5145328044891357,0.4446865916252136,0.0683295726776123,0.1226130947470665,0.5043154954910278,1.9612579345703125,1024.0,4096.0,0.01416015625,0.01652831956744194,0.000244140625,0.8984375,0.41940367221832275,1.0,0.6447272300720215,0.655523955821991,16.873276194000937
vae,6d_spatial_arm_up_n6_py,3251,0.5629277229309082,0.22237256169319153,0.22237256169319153,0.5838881731033325,0.5130884051322937,0.06701650470495224,0.10861673206090927,0.49591124057769775,1.967177152633667,1024.0,4096.0,0.0078125,0.015644440427422523,0.0,0.89892578125,0.41816985607147217,1.0,0.6469204425811768,0.6154811382293701,16.345378971000173
vae,6d_workspace_sine_surface_pose_traj,173,0.19609609246253967,0.14855359494686127,0.14855359494686127,0.13215555250644684,0.07038379460573196,0.06734191626310349,0.11315509676933289,0.1287541687488556,0.28700706362724304,1024.0,4096.0,0.0017094017094017094,0.006005933042615652,0.093994140625,0.496826171875,0.08730810880661011,1.0,0.42395681142807007,0.1506907343864441,23.887475232000725
vae,6d_workspace_sine_surface_pose_traj,271,0.1934044063091278,0.12176837027072906,0.12176837027072906,0.12417185306549072,0.06665485352277756,0.0643623024225235,0.11171098053455353,0.1290421038866043,0.3051421046257019,1024.0,4096.0,0.0004884004884004884,0.003767641494050622,0.195068359375,0.472900390625,0.07565799355506897,1.0,0.42926114797592163,0.13493530452251434,24.17415899200205
vae,6d_workspace_sine_surface_pose_traj,509,0.20721571147441864,0.1514742225408554,0.1514742225408554,0.13165786862373352,0.06872224062681198,0.07076211273670197,0.11905638873577118,0.13645359873771667,0.3217023015022278,1024.0,4096.0,0.00268685881778212,0.005726031959056854,0.142822265625,0.5,0.08498462289571762,1.0,0.44360387325286865,0.15164640545845032,24.078565300002083
vae,6d_workspace_sine_surface_pose_traj,877,0.2045762687921524,0.1285352259874344,0.1285352259874344,0.12215348333120346,0.06399562954902649,0.06646367907524109,0.11351099610328674,0.13811258971691132,0.36558234691619873,1024.0,4096.0,0.001708984375,0.004160809796303511,0.1494140625,0.52783203125,0.07943063974380493,1.0,0.3907572031021118,0.1409054845571518,24.210252926997782
vae,6d_workspace_sine_surface_pose_traj,1123,0.21037940680980682,0.15454119443893433,0.15454119443893433,0.13873648643493652,0.0767766460776329,0.06828849017620087,0.11527291685342789,0.14209091663360596,0.36286023259162903,1024.0,4096.0,0.002685546875,0.006292128935456276,0.12353515625,0.504150390625,0.09417815506458282,1.0,0.450466126203537,0.1762913167476654,24.178410955999425
vae,6d_workspace_sine_surface_pose_traj,2027,0.20470260083675385,0.13287422060966492,0.13287422060966492,0.1266050487756729,0.06563262641429901,0.06900043785572052,0.11705649644136429,0.13570216298103333,0.33057066798210144,1024.0,4096.0,0.00244140625,0.004650373477488756,0.125,0.43896484375,0.08514680713415146,1.0,0.4580751955509186,0.1459413766860962,24.099474192000343
vae,6d_workspace_sine_surface_pose_traj,3251,0.22220659255981445,0.16587412357330322,0.16587412357330322,0.14019954204559326,0.07548058032989502,0.0719819962978363,0.12536728382110596,0.15022459626197815,0.4074612855911255,1024.0,4096.0,0.002197802197802198,0.006833540741354227,0.10546875,0.5205078125,0.10020291805267334,1.0,0.4430370628833771,0.17401394248008728,24.487423383998248
