[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.137845 | on=0.033458 | off=0.034796
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.125184 | on=0.038348 | off=0.028945
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.143443 | on=0.033835 | off=0.036536
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.134340 | on=0.030792 | off=0.034516
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.128593 | on=0.033920 | off=0.031558
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.085911 | on=0.024860 | off=0.020350
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.097448 | on=0.028486 | off=0.022987
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.063336 | on=0.021926 | off=0.013803
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.048342 | on=0.012892 | off=0.011817
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.007242 | on=0.002115 | off=0.001709
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.004928 | on=0.001320 | off=0.001203
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.004169 | on=0.001003 | off=0.001055
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.004098 | on=0.000860 | off=0.001079
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.004133 | on=0.001363 | off=0.000923
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.003341 | on=0.001101 | off=0.000747
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.004388 | on=0.001271 | off=0.001039
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.003728 | on=0.000951 | off=0.000926
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.003247 | on=0.001103 | off=0.000715
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.004645 | on=0.000997 | off=0.001216
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.003661 | on=0.000778 | off=0.000961
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.003834 | on=0.000923 | off=0.000970
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.003525 | on=0.001040 | off=0.000828
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.003954 | on=0.001015 | off=0.000980
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.003322 | on=0.000757 | off=0.000855
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.002924 | on=0.000914 | off=0.000670
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.003420 | on=0.000882 | off=0.000846
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.003158 | on=0.000857 | off=0.000767
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002919 | on=0.000842 | off=0.000692
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.002729 | on=0.000543 | off=0.000729
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.003687 | on=0.000778 | off=0.000970
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.002551 | on=0.000726 | off=0.000608
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003147 | on=0.000706 | off=0.000814
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.003008 | on=0.000522 | off=0.000829
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.002576 | on=0.000541 | off=0.000678
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.003182 | on=0.000592 | off=0.000863
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.002681 | on=0.000641 | off=0.000680
[eval] 3d_torus_surface | proj_dist=0.058849 | pred_recall=0.602649 | pred_FPrate=0.024081 | chamfer=0.164632 | gt->learned=0.060054 | learned->gt=0.104578 | space=data_space
[done] method=delta dataset=3d_torus_surface seed=173 proj_dist=0.058849 recall=0.602649 FPrate=0.024081
[run] method=delta dataset=3d_vz_2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.426427 | on=0.006331 | off=0.140032
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.238792 | on=0.049983 | off=0.062937
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.197063 | on=0.045447 | off=0.050539
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.242786 | on=0.047477 | off=0.065103
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.212190 | on=0.050609 | off=0.053860
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.148438 | on=0.034907 | off=0.037844
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.115399 | on=0.024338 | off=0.030354
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.132425 | on=0.013024 | off=0.039800
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.105187 | on=0.002692 | off=0.034165
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.137272 | on=0.003903 | off=0.044456
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.108560 | on=0.004004 | off=0.034852
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.153559 | on=0.003830 | off=0.049910
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.088324 | on=0.004808 | off=0.027839
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.138734 | on=0.002941 | off=0.045264
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.104659 | on=0.002886 | off=0.033924
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.076890 | on=0.002931 | off=0.024653
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.112579 | on=0.002877 | off=0.036567
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.078314 | on=0.002803 | off=0.025170
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.079591 | on=0.002781 | off=0.025603
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.055384 | on=0.001885 | off=0.017833
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.085508 | on=0.002888 | off=0.027540
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.071253 | on=0.001652 | off=0.023200
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.066085 | on=0.001482 | off=0.021534
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.041729 | on=0.001683 | off=0.013349
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.050241 | on=0.002436 | off=0.015935
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.048621 | on=0.001704 | off=0.015639
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.074228 | on=0.001703 | off=0.024175
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.080425 | on=0.001437 | off=0.026329
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.059748 | on=0.001302 | off=0.019482
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.083269 | on=0.001764 | off=0.027168
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.062348 | on=0.001593 | off=0.020251
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.047676 | on=0.001595 | off=0.015360
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.054622 | on=0.002159 | off=0.017488
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.065570 | on=0.001259 | off=0.021437
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.053085 | on=0.001506 | off=0.017193
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.038754 | on=0.001997 | off=0.012252
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.089248 | on=0.001889 | off=0.029120
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.108691 | on=0.001258 | off=0.035811
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.074393 | on=0.001610 | off=0.024261
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.121263 | on=0.002255 | off=0.039669
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.074658 | on=0.002888 | off=0.023923
