[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.002443 | on=0.000174 | off=0.007564
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.001790 | on=0.000200 | off=0.005297
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.001449 | on=0.000111 | off=0.004463
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.001052 | on=0.000149 | off=0.003011
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.001468 | on=0.000149 | off=0.004397
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.000818 | on=0.000127 | off=0.002305
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.000922 | on=0.000153 | off=0.002566
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.000473 | on=0.000075 | off=0.001329
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.000620 | on=0.000047 | off=0.001910
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.000676 | on=0.000075 | off=0.002003
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000446 | on=0.000039 | off=0.001356
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000460 | on=0.000042 | off=0.001395
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000277 | on=0.000038 | off=0.000797
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000400 | on=0.000019 | off=0.001272
[eval] 3d_torus_surface | proj_dist=0.057609 | pred_recall=0.152318 | pred_FPrate=0.003549 | chamfer=0.162525 | gt->learned=0.058631 | learned->gt=0.103894 | space=data_space
[done] method=delta dataset=3d_torus_surface seed=173 proj_dist=0.057609 recall=0.152318 FPrate=0.003549
[run] method=delta dataset=3d_vz_2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.048341 | on=0.006331 | off=0.140032
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.039737 | on=0.003873 | off=0.119546
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.030947 | on=0.003539 | off=0.091362
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.019168 | on=0.000890 | off=0.060927
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.016129 | on=0.000878 | off=0.050838
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.010876 | on=0.000622 | off=0.034181
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.005865 | on=0.000611 | off=0.017514
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.013072 | on=0.000748 | off=0.041082
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.008308 | on=0.001205 | off=0.023676
