[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.289809 | on=0.005120 | off=0.028469
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.109620 | on=0.019550 | off=0.009007
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.118241 | on=0.019452 | off=0.009879
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.251167 | on=0.022542 | off=0.022862
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.118945 | on=0.020804 | off=0.009814
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.155713 | on=0.019027 | off=0.013669
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.127931 | on=0.018391 | off=0.010954
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.189967 | on=0.017201 | off=0.017277
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.174455 | on=0.020461 | off=0.015399
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.128839 | on=0.015333 | off=0.011351
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.104095 | on=0.021194 | off=0.008290
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.102134 | on=0.018825 | off=0.008331
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.111602 | on=0.018449 | off=0.009315
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.233922 | on=0.016638 | off=0.021728
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.120286 | on=0.011833 | off=0.010845
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.182660 | on=0.017923 | off=0.016474
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.109308 | on=0.018327 | off=0.009098
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.134391 | on=0.018753 | off=0.011564
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.141585 | on=0.014814 | off=0.012677
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.120469 | on=0.014822 | off=0.010565
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.109399 | on=0.016359 | off=0.009304
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.168618 | on=0.016110 | off=0.015251
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.135400 | on=0.019559 | off=0.011584
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.133201 | on=0.019635 | off=0.011357
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.126871 | on=0.017226 | off=0.010964
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.130253 | on=0.019060 | off=0.011119
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.163459 | on=0.012825 | off=0.015063
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.126164 | on=0.017460 | off=0.010870
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.129480 | on=0.016577 | off=0.011290
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.137606 | on=0.018573 | off=0.011903
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.174727 | on=0.017968 | off=0.015676
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.097559 | on=0.014098 | off=0.008346
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.140154 | on=0.017462 | off=0.012269
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.124836 | on=0.018760 | off=0.010608
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.138144 | on=0.015629 | off=0.012251
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.197998 | on=0.011198 | off=0.018680
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.105117 | on=0.014244 | off=0.009087
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.122821 | on=0.016951 | off=0.010587
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.113991 | on=0.021953 | off=0.009204
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.097808 | on=0.018601 | off=0.007921
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.095296 | on=0.014711 | off=0.008058
[eval] 2d_sparse_sine | proj_dist=0.256100 | pred_recall=0.827500 | pred_FPrate=0.428571 | chamfer=0.362161 | gt->learned=0.105725 | learned->gt=0.256436 | space=data_space
[done] method=delta dataset=2d_sparse_sine seed=173 proj_dist=0.256100 recall=0.827500 FPrate=0.428571
[run] method=delta dataset=2d_square seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.213891 | on=0.007652 | off=0.020624
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.153227 | on=0.018131 | off=0.013510
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.129025 | on=0.019577 | off=0.010945
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.165335 | on=0.020630 | off=0.014470
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.177429 | on=0.016810 | off=0.016062
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.109918 | on=0.020948 | off=0.008897
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.177991 | on=0.017132 | off=0.016086
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.136885 | on=0.019186 | off=0.011770
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.133139 | on=0.016651 | off=0.011649
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.145428 | on=0.017343 | off=0.012809
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.153818 | on=0.019158 | off=0.013466
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.129772 | on=0.015597 | off=0.011418
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.110713 | on=0.021043 | off=0.008967
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.161682 | on=0.018606 | off=0.014308
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.169267 | on=0.019450 | off=0.014982
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.151061 | on=0.017411 | off=0.013365
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.129598 | on=0.017782 | off=0.011182
