method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
ecomann,pred_FPrate,0.2,21,0.5322135551581761,0.3177234728518744,0.2,0.5322135551581761,0.0,0.0
ecomann,pred_FPrate,0.5,21,0.3241617953339068,0.2747693597146389,0.2,0.5322135551581761,-0.20805175982426932,-39.091781448977834
ecomann,pred_FPrate,0.75,21,0.2678339853276802,0.2627185727468897,0.2,0.5322135551581761,-0.26437956983049593,-49.67546716316183
ecomann,pred_FPrate,1.0,21,0.24787127291881875,0.32120137835010565,0.2,0.5322135551581761,-0.2843422822393574,-53.426351035882526
ecomann,pred_FPrate,1.5,21,0.1880611853280149,0.2425959543246882,0.2,0.5322135551581761,-0.34415236983016123,-64.6643375567309
ecomann,pred_FPrate,3.0,21,0.18993221025111762,0.24203338377063452,0.2,0.5322135551581761,-0.3422813449070585,-64.31278226375332
ecomann,train_seconds,0.2,21,40.264025918285675,50.161290344021246,0.2,40.264025918285675,0.0,0.0
ecomann,train_seconds,0.5,21,112.18612997713664,145.68140069332964,0.2,40.264025918285675,71.92210405885098,178.62621140969406
ecomann,train_seconds,0.75,21,206.2188804124848,270.4740099480666,0.2,40.264025918285675,165.9548544941991,412.1665698084892
ecomann,train_seconds,1.0,21,320.48544059062124,423.2703067137498,0.2,40.264025918285675,280.2214146723356,695.9597513697075
ecomann,train_seconds,1.5,21,578.3149065158186,767.8697653453261,0.2,40.264025918285675,538.0508805975329,1336.3067113295797
ecomann,train_seconds,3.0,21,2384.093545149621,3894.697028102628,0.2,40.264025918285675,2343.8295192313353,5821.150433362151
oncl,proj_true_dist,0.2,21,0.4058172277041844,0.12090024434361417,0.2,0.4058172277041844,0.0,0.0
oncl,proj_true_dist,0.5,21,0.2849870916633379,0.1118970589790214,0.2,0.4058172277041844,-0.12083013604084647,-29.774521087834188
oncl,proj_true_dist,0.75,21,0.27537569332690465,0.10595143701172596,0.2,0.4058172277041844,-0.13044153437727973,-32.14292678386821
oncl,proj_true_dist,1.0,21,0.23465231539947645,0.11423710042091585,0.2,0.4058172277041844,-0.17116491230470793,-42.17783293061096
oncl,proj_true_dist,1.5,21,0.21909321276914506,0.12829591679420893,0.2,0.4058172277041844,-0.18672401493503932,-46.01185020936311
oncl,proj_true_dist,3.0,21,0.22086394755613237,0.13049135967038603,0.2,0.4058172277041844,-0.184953280148052,-45.57551220641414
oncl,proj_manifold_dist,0.2,21,0.189751630737668,0.10955843629729158,0.2,0.189751630737668,0.0,0.0
oncl,proj_manifold_dist,0.5,21,0.08669184059614227,0.08648046097646124,0.2,0.189751630737668,-0.10305979014152572,-54.312993116779104
